id,datetime,text,thread_text,status,category,subcategory,hashtags
501,2025-11-09 08:00,"おはよう☀️
運用開始して12日目の成果報告！

昨日の投稿、反応どうだったかな
今日も試行錯誤していきます",,pending,メタ,,
502,2025-11-09 08:30,"体育の授業で逆上がりできなかった人いる？
私は小6までできなかった
できた時の達成感すごかった",,pending,質問,,
503,2025-11-09 09:00,"前略プロフィールで自己紹介書いてた
「好きなタイプ:優しい人」って
今思うと抽象的すぎる😂",,pending,共感,,
504,2025-11-09 09:30,"給食の揚げパン、好きだった？
きな粉まみれになってた記憶
手がベタベタだった",,pending,質問,,
505,2025-11-09 10:00,"「ニコニコ動画(RC)」の時代知ってる人いる？
正式版になる前のやつ
あの頃から見てた人、レジェンドすぎる",,pending,共感,,
506,2025-11-09 10:30,"モバゲーのアバター着せ替え、課金してた？
無課金でおしゃれ目指してた
でも限界あったよね😅",,pending,質問,,
507,2025-11-09 11:00,"音楽室のベートーベンの肖像画
なんか怖くなかった？
夜見たら絶対怖い",,pending,共感,,
508,2025-11-09 11:30,"初音ミク、最初見た時どう思った？
私は「歌うソフト？」ってなった
今や世界的存在だよね",,pending,質問,,
509,2025-11-09 12:00,"文化祭の打ち上げで初めてカラオケオール
朝6時まで歌ってた
若かったなぁ",,pending,共感,,
510,2025-11-09 12:30,"「魔法のiらんど」で小説書いてた人いる？
ケータイ小説の全盛期
黒歴史すぎて思い出したくない😭","タイトルが「†黒ノ天使†」とか

...今なら絶対つけない
当時は真剣だったのに
思い出すだけで顔から火が出る🔥",pending,質問,,
511,2025-11-09 13:00,"初めて告白された場所覚えてる？
私は放課後の教室
ドラマみたいだった（結果はお察し）","告白の返事、何て言ったかというと...

「ごめんなさい」の一言だけ

今思うともうちょっと言い方あったよね
当時の私、コミュ力ゼロすぎ😭",pending,共感,,
512,2025-11-09 13:30,"2chの「VIP」と「ニュー速VIP」の違い
説明できる人いる？
当時から謎だった",,pending,質問,,
513,2025-11-09 14:00,"体育祭の応援団、やってた？
朝練とかあって大変だった
でも楽しかった記憶",,pending,共感,,
514,2025-11-09 14:30,"GREEの釣りゲーム、やってた人いる？
無課金で頑張ってた
課金勢には勝てなかった😅",,pending,質問,,
515,2025-11-09 15:00,"理科の実験、何が好きだった？
私はリトマス紙の色変化
単純だけど面白かった",,pending,共感,,
516,2025-11-09 15:30,"東方Projectのキャラ、誰が好きだった？
私は霊夢
ニコ動でめっちゃ見てた",,pending,質問,,
517,2025-11-09 16:00,"修学旅行のお小遣い、いくらだった？
私は5000円
みんな木刀買ってたよね😂","で、その木刀なんだけど...

家に帰って1週間で飽きた
今どこにあるか不明

あの時の5000円、返してほしい😂",pending,共感,,
518,2025-11-09 16:30,"pixivに初めて絵を投稿した時の緊張感
閲覧数1桁で凹んだ記憶
今思うと当然だけど",,pending,質問,,
519,2025-11-09 17:00,"家庭科の調理実習で何作った？
私はカレーとクッキー
焦がして失敗した😅",,pending,共感,,
520,2025-11-09 17:30,"ニコ動の「組曲『ニコニコ動画』」
全部歌える人いる？
当時は全部覚えてた",,pending,質問,,
521,2025-11-09 18:00,"部活の合宿、楽しかった？
私は夜のトランプ大会が一番の思い出
練習より楽しかった説",,pending,共感,,
522,2025-11-09 18:30,"mixi日記、毎日書いてた？
今見返したら恥ずかしすぎる
若気の至りってやつ😭","当時の日記のタイトル例:

「眠い。」
「学校だりぃ」
「バイト疲れた」

...内容ゼロ😂
なんのために書いてたんだろう",pending,質問,,
523,2025-11-09 19:00,"卒業式で泣いた？
私は全然泣かなかった
冷めてたのかな",,pending,共感,,
524,2025-11-09 19:30,"ガラケーのデコメ、自作してた人いる？
素材サイトから集めてた
今の絵文字より手間かかった",,pending,質問,,
525,2025-11-09 20:00,"初めて買った漫画、覚えてる？
私はNARUTO 1巻
今でも実家にある",,pending,共感,,
526,2025-11-09 20:30,"「ふたば☆ちゃんねる」見てた人いる？
2chより前から存在してた
知ってる人少ないよね",,pending,質問,,
527,2025-11-09 21:00,"文化祭のクラス企画、何やった？
私は教室で喫茶店
コーヒー入れるだけで楽しかった",,pending,共感,,
528,2025-11-09 21:30,"今日も色々試してみた
うまくいくかわからないけど
続けてみます！",,pending,メタ,,
529,2025-11-09 22:00,"初デート、どこ行った？
私は映画館
緊張しすぎて内容覚えてない😂","帰り道で「映画どうだった？」って聞かれて

「...面白かったね」としか言えなかった

何の映画だったかも覚えてない
ただ緊張してたことだけ覚えてる😅",pending,質問,,
530,2025-11-09 22:30,"好きだったバンド、今も聴いてる？
私はRADWIMPS
今でもプレイリストにある",,pending,共感,,
531,2025-11-09 23:00,"地元の駄菓子屋、まだある？
私の地元はもうなくなった
寂しいな",,pending,質問,,
532,2025-11-09 23:30,"結局、昔の思い出って
美化されてる部分もあるよね
でもそれでいいと思う",,pending,共感,,
