id,datetime,text,thread_text,status,category,subcategory,hashtags
101,2025-11-03 08:00,"「ウッーウッーウマウマ(ﾟ∀ﾟ)」覚えてる？
キャラメルダンセンの謎ブーム
あれ、何だったんだろう😂",,pending,共感,ニコ動,
102,2025-11-03 08:30,"「wwwww」って打ち込んでた時代
今は「草」だけで通じるよね
言葉の進化すごい",,pending,質問,ネットスラング,
103,2025-11-03 09:00,"「全米が泣いた」って煽り文句
当時は普通に使ってたけど
今見ると恥ずかしい😅",,pending,共感,2ch,
104,2025-11-03 09:30,"ニコ動の「踊ってみた」見てた人いる？
くつしたちゃんとか懐かしい
今はTikTokだけど",,pending,質問,ニコ動,
105,2025-11-03 10:00,"「アサヒる」って流行語覚えてる？
一瞬で死語になった記憶
使ってた人いる？",,pending,共感,流行語,
106,2025-11-03 10:30,"「〜だお」「〜なのです」
ニコ厨特有の語尾使ってた黒歴史
封印したい過去😭",,pending,質問,ニコ厨,
107,2025-11-03 11:00,"「狂おしいほど好き」って表現
2ch発祥だっけ？
今も使ってる人いる？",,pending,共感,2ch,
108,2025-11-03 11:30,"YouTube板でFLASH見てた人いる？
「BADAPPLE!!」とか
あの頃のネット文化、最高だった",,pending,質問,FLASH,
109,2025-11-03 12:00,"「テラワロスwww」とか言ってた？
キロ→メガ→ギガ→テラの流れ
今思うとセンスおかしい😂",,pending,共感,ネットスラング,
110,2025-11-03 12:30,"「お前ら」って二人称
2chでしか使わないよね
リアルで使ったことある人いる？",,pending,質問,2ch,
111,2025-11-03 13:00,"ニコニコの「(・∀・)」とか「(´・ω・`)」
顔文字めっちゃ使ってた
今はLINEスタンプで済む",,pending,共感,顔文字,
112,2025-11-03 13:30,"「ゲシュタルト崩壊」って言葉
ネットで覚えた人いる？
学校で使って「？」って顔された😅",,pending,質問,言葉,
113,2025-11-03 14:00,"「ようつべ」「つべ」
YouTubeの略称、色々あったよね
何て呼んでた？",,pending,共感,YouTube,
114,2025-11-03 14:30,"「やる夫スレ」読んでた人いる？
2chの長編スレ
めっちゃハマってた記憶",,pending,質問,2ch,
115,2025-11-03 15:00,"「マモノ」って2ch用語覚えてる？
実況スレで流行ってた
今も使われてるの？",,pending,共感,2ch,
116,2025-11-03 15:30,"「誰得」って言葉、死語？
「誰が得するんだよ」の略
便利な言葉だったのに😂",,pending,質問,ネットスラング,
117,2025-11-03 16:00,"「うp主」「up主」
ニコ動で投稿者のこと呼んでた
今は「投稿者」って言うよね",,pending,共感,ニコ動,
118,2025-11-03 16:30,"「ktkr」って何の略か覚えてる？
「キタコレ」だよね
打つの面倒で略してた😅",,pending,質問,ネット略語,
119,2025-11-03 17:00,"Flash黄金時代覚えてる？
「森のくまさん」とか見てた
Flashが終わったの寂しい",,pending,共感,FLASH,
120,2025-11-03 17:30,"「やらないか」のAAコピペしてた？
くそみそテクニックのネタ
今は通じない😂",,pending,質問,2ch,
121,2025-11-03 18:00,"「マジキチ」って言葉使ってた？
マジでキチガイの略
今は使えない言葉だよね",,pending,共感,ネットスラング,
122,2025-11-03 18:30,"2chの「オカ板」見てた人いる？
怖い話読み漁ってた
夜中に見て後悔した😱",,pending,質問,2ch,
123,2025-11-03 19:00,"「メシウマ状態」って言葉覚えてる？
飯がうまい→他人の不幸で飯がうまい
ネットスラング、深すぎた",,pending,共感,2ch,
124,2025-11-03 19:30,"ニコ動の「歌ってみた」聞いてた？
「歌い手」とか呼ばれてた時代
誰が好きだった？",,pending,質問,ニコ動,
125,2025-11-03 20:00,"「ggrks」って略語使ってた？
ググレカスの更に略
攻撃的すぎる😂",,pending,共感,ネット略語,
126,2025-11-03 20:30,"VIPPERだった人、正直に
「安価で〜」とかやってた
あの頃のVIP、カオスだった",,pending,質問,2ch,
127,2025-11-03 21:00,"「クソワロタwww」とか言ってた？
wの数で笑いの強さ表現してた
今考えると謎の文化😅",,pending,共感,ネットスラング,
128,2025-11-03 21:30,"「ゆっくりしていってね!!!」
ゆっくりボイス聞いてた人いる？
あの声、今も現役だよね",,pending,質問,ニコ動,
129,2025-11-03 22:00,"「うはwwwおkwww」
意味わからん言葉使ってた
あれ、何語だったんだろう😂",,pending,共感,VIP,
130,2025-11-03 22:30,"2chのコピペブログ見まくってた
哲学ニュースとかカラパイアとか
あの時間、返して欲しい😅",,pending,質問,まとめ,
131,2025-11-03 23:00,"「〜なんだが」で始まるスレタイ
2ch特有の文化だよね
今も見かける？",,pending,共感,2ch,
132,2025-11-03 23:30,"結局、昔のネット文化の方が
自由で楽しかった気がする
みんなどう思う？",,pending,質問,ノスタルジー,
